time flux flux_err airmass width x y fwhm compcounts flux_cor_med flux_cor_sd planets_x_med planets_x_sd summodel_x_med summodel_x_sd
2359.6370370000004 -9.097392281143923 23.346264959830513 2.930282267358611 0.028846051388122806 -0.09450535432512185 0.36517684569972514 2.5924855252967944 -0.14862638103985001 1.023823582353888 3.867913545959579 0.0 0.007182661294177184 1.023823582353888 3.8679252530843473
2359.6381770000007 -0.8433444269720924 22.39638974910366 2.830511374618644 -1.198327776840292 0.6932316146580703 -0.4977636505507752 0.6155695819194068 -0.766968944029917 3.6495353693833863 3.4885333802654794 0.0 0.007283045082412698 3.649306574666817 3.4885384163558486
2359.6391520000034 -16.48663417396845 20.514637235813932 2.747531532961312 -0.5402154038992861 -0.7536039867471453 0.3549673946476992 1.172711270298795 0.8038223641598571 -2.1999121404458846 3.697310671761444 0.0 0.00737142597618815 -2.1999121404458846 3.6973307275469383
2359.639565999998 -2.634136289289102 20.856985934990842 2.7128493400939697 0.2474615478248163 0.3988561461061646 -0.4575179541904734 2.585315900090723 -0.4683605487191353 2.7764348258651204 3.239842519643884 0.0 0.007412524742210853 2.776175152267575 3.2398505564413425
2359.6398489999992 -6.5002552886740395 20.36974760102613 2.6894357429848594 -0.9538947346744329 -1.6603414881846015 0.5211960036567739 0.016012269437174115 -0.0670789242237672 1.2720227769114092 3.276709383954393 0.0 0.007442449510216964 1.2720227769114092 3.276721870688106
2359.6405400000003 -5.614149644643351 20.05912183350517 2.6327774048591155 -0.6696159597628238 -0.6402476450397776 -0.1132437753040009 1.5105125780142614 -0.22680168683438945 2.008184234551706 3.103652165757105 0.0 0.007523260851899583 2.007960223614659 3.1036631949733753
2359.640750999999 1.1698964009976276 20.048051177764012 2.615762668667061 -0.31396692335062837 0.6223438887433453 -0.3656908457026065 1.6842526090995298 -0.9678377076717875 4.888486021218556 2.9312153554513967 0.0 0.007550448332484799 4.8882621022676975 2.9312172425029788
2359.6409589999967 3.4654713207056265 19.995481748162714 2.599015621212509 -1.0393540576772102 -0.23403793714636476 -0.3362063945158882 0.5874804309951027 -1.1129849737191797 5.484144470806197 2.878881962589935 0.0 0.007578587399923213 5.483972674170417 2.8788819451405936
2359.6416529999988 -8.012791721894619 19.21801095988444 2.5436993937432946 0.09725544554709675 -0.8006193117526346 1.0370353210012302 2.190796452406881 0.03847360636368493 1.1708274054500245 2.9795249827014465 0.0 0.007684807459558412 1.170495962232432 2.979540778176802
2359.6419309999983 19.373291473306466 20.090974246514822 2.521836924524106 -0.2791095165088014 -0.5465675794080997 -0.414404944083783 1.2427129417527831 -2.4380548150316397 10.777726874187113 2.79698292810629 0.0 0.007734195635957443 10.777726874187113 2.7969655881782605
2359.6421400000036 17.489078814296512 19.86282810129935 2.505522579412369 -0.3496342990426207 -0.6286783605344956 -0.5283365723340548 1.725262737505928 -2.2530548914170856 10.09080515979502 2.728047624589883 0.0 0.007774455109257801 10.09080515979502 2.7280329122680538
2359.6423510000022 26.45417352229962 20.133767833911936 2.4891165600754612 -0.022139712223734453 0.4413552474971474 0.8822986434452491 2.539872071623721 -3.1170759805890547 13.483772577422773 2.9243827546418397 0.0 0.007818079784705794 13.483772577422773 2.9243578775868664
2359.642636999997 -2.613548754051176 18.844651476496914 2.4670157378708235 -1.3162298187558144 0.4176701152621554 0.14168258922968882 1.0569319651498992 -0.4072046784551889 3.0195096127534415 2.69768663695412 0.0 0.007882363491368298 3.019177868435892 2.6976995699243074
2359.643538999997 -10.05659014933702 18.422671744795874 2.398326074433413 -0.8908034032164202 0.11260073438123969 1.9094369447695514 1.0401059456475648 0.32564225616808634 0.32057642433493294 2.786505867070062 0.0 0.008128520059459656 0.32034519358294444 2.7865301859288505
2359.6437480000022 -5.126976051355481 18.459444449246046 2.3826424479908654 -1.2710744780987735 -0.7045700796344432 0.5547798568338596 0.9780213675654875 -0.10799502461759254 2.0262631755508176 2.608978010929094 0.0 0.008195881001901682 2.0259820268719153 2.6089978810958807
2359.6440250000014 21.492965974015952 19.335838991749412 2.3619387409778594 -0.24191858771869543 0.037466800150141005 0.006707196125742077 1.9061947539560753 -2.519155917807669 11.379321972947581 2.5180525265454543 0.0 0.008291641007287374 11.379321972947581 2.5180372669876125
2359.644229999998 26.85770216109873 19.502999419373243 2.3467134856611755 -0.1755755441544981 1.3899973811610515 0.5480525038452818 1.7323397277683714 -3.18925987364289 14.008944916342308 2.7184605103397894 0.0 0.008367400469566823 14.008944916342308 2.718437702544479
2359.6444399999964 25.77031775274485 19.38083376215939 2.3311912058549322 -0.9663976776349683 0.30314225556798 -0.40453564009296766 0.7070976976878166 -3.0118468366219435 13.33696234167386 2.6269098135433158 0.0 0.008449444810132638 13.33696234167386 2.6268895160929793
2359.6447229999976 22.285909784061086 19.10613907028957 2.3104618300588777 -1.0402367377185142 1.9678714923460605 -0.228533472191547 0.8404488933506838 -2.5537870697779046 11.59015796727575 2.4425691686920024 0.0 0.008567355251714686 11.59015796727575 2.4425554598856514
2359.6449310000025 12.131269879636308 18.788132865607842 2.295236574742194 -0.492787415779579 0.12141542733766864 -0.8397651431468017 1.1954084286421882 -1.9446533071117642 9.250640692939317 2.2821247881783013 0.0 0.008659582117224741 9.250640692939317 2.2821208289241577
2359.6451400000005 3.5449081311991204 18.408428795889122 2.2800773248676336 0.1087302860840452 -0.5578232977605839 -0.13379621662462512 2.8399006824972153 -0.9144863062540705 5.293465932846801 2.2403260383378023 0.0 0.008757167182358156 5.293427956941949 2.240339327912857
