time flux flux_err airmass flux_cor_med flux_cor_sd planets_x_med planets_x_sd
2339.6112600001507 -0.24000000000001798 -997.9780000000001 3.4939408279151674 0.018122886004978175 3.786178170651361 0.0 0.0
2339.6117790001445 2.1139999999999493 -997.9879999999999 3.461058800856573 0.017767981368687347 3.754897762043022 0.0 0.0
2339.6123139997944 1.9009999999999305 -997.999 3.427502309541651 0.018430171000560047 3.723012470921529 0.0 0.0
2339.6128340000287 -5.148000000000041 -998.02 3.395347794489885 0.01564772604013731 3.692495027156836 0.0 0.0
2339.613359999843 1.5419999999999323 -998.0219999999999 3.3629431971857726 0.015562575185876393 3.661776472401732 0.0 0.0
2339.6138760000467 -4.654000000000047 -998.045 3.3312433771382737 0.01210886451419474 3.6317621101755564 0.0 0.0
2339.614401999861 3.43899999999997 -998.019 3.299346522588925 0.007425346086144535 3.601598120984315 0.0 0.0
2339.6149140000343 -1.6119999999999468 -998.034 3.2685864055502467 0.007799811256954843 3.572545078946532 0.0 0.0
2339.6154240001924 -0.8939999999999504 -998.048 3.23804605776363 0.009681224231443339 3.54373541287901 0.0 0.0
2339.61593300011 -4.157999999999995 -998.067 3.2077557922293596 0.006704935919932986 3.5151977611093597 0.0 0.0
2339.616454999894 -0.001999999999946489 -998.058 3.1770259881909633 0.004688074632414496 3.4862836537846027 0.0 0.0
2339.616977999918 1.4289999999999026 -998.0649999999999 3.146500796904489 0.008429315929312009 3.457600549067043 0.0 0.0
2339.6175219998695 1.2049999999999006 -998.0759999999999 3.1147100378561374 0.010633943588961303 3.427770058001266 0.0 0.0
2339.6180320000276 4.126999999999992 -998.064 3.0853215840803307 0.009182245263340993 3.4002326471211037 0.0 0.0
2339.6185530000366 2.0340000000000913 -998.0649999999999 3.0557133610524607 0.012781840523615362 3.372528060135067 0.0 0.0
2339.6190659999847 -2.1609999999999685 -998.082 3.0263476420268685 0.01214354547265506 3.3450897538606195 0.0 0.0
2339.619589000009 1.3959999999999528 -998.067 2.9970198142516304 0.010325259949888643 3.3177269555318345 0.0 0.0
2339.6201169998385 -1.2360000000000149 -998.084 2.9674343259739735 0.014669117594691972 3.290165384560746 0.0 0.0
2339.620643999893 -1.0299999999999754 -998.0830000000001 2.9383111109506572 0.013174555966568857 3.2630763207462588 0.0 0.0
2339.6211649999022 1.3959999999999528 -998.077 2.909415243429473 0.014063704415198691 3.2362408014814115 0.0 0.0
2339.6216830001213 -5.726000000000009 -998.0909999999999 2.8811407924141217 0.013158472830294726 3.210023972288235 0.0 0.0
2339.6227679997683 -11.600999999999972 -998.109 2.8223638848625074 0.013721508338595645 3.155660550442747 0.0 0.0
2339.6232799999416 3.633999999999915 -998.064 2.7951200758568278 0.01155773801576454 3.130526889150209 0.0 0.0
2339.6238110000268 8.65999999999989 -998.06 2.76687593784176 0.011757434879841003 3.1045149384323003 0.0 0.0
2339.6243380000815 4.266000000000103 -998.0790000000001 2.7392153250821694 0.009489270684958112 3.0790854564137864 0.0 0.0
2339.624847999774 -5.217000000000027 -998.104 2.7125247283316813 0.007276720504856726 3.0545910709229513 0.0 0.0
2339.6253590001725 0.2249999999999197 -998.09 2.6857128795800556 0.005245318174362024 3.030029303763001 0.0 0.0
2339.625886000227 1.39099999999992 -998.086 2.658719152826724 0.0033724599095665275 3.0053464537927703 0.0 0.0
2339.6269410001114 1.3879999999999448 -998.09 2.6048832643214817 0.007957667070072887 2.9562602999660452 0.0 0.0
2339.6274549998343 -3.5610000000000364 -998.097 2.5789808055783894 0.0070441074072040075 2.932712239967856 0.0 0.0
2339.6279830001295 -0.4189999999999472 -998.096 2.5525099780799647 0.007545634143212715 2.9086954116817187 0.0 0.0
2339.629015999846 -4.7880000000000145 -998.101 2.5013037423494016 0.005855055222315997 2.8623783430150733 0.0 0.0
2339.6295289997943 2.98200000000004 -998.0830000000001 2.4761287956131377 0.005696935052457164 2.839678021082607 0.0 0.0
2339.6305729998276 2.7079999999999327 -998.09 2.4254606156376237 0.006238143676090269 2.7941379258924206 0.0 0.0
2339.6310990001075 4.4599999999999085 -998.087 2.4003311384017865 0.0066727811112032576 2.7716273116076637 0.0 0.0
2339.631616999861 -0.8380000000000054 -998.094 2.3757169821707866 0.008605738510514355 2.7496284544292795 0.0 0.0
2339.6321279997937 0.032999999999949736 -998.097 2.3514893166934123 0.006486509895475223 2.7280246551686322 0.0 0.0
2339.6326359999366 -0.23099999999998122 -998.09 2.3277769722208754 0.0037910592845279423 2.7069291869377126 0.0 0.0
2339.6331489998847 4.007000000000094 -998.0830000000001 2.3037160282450673 0.0034929529945598586 2.68557413274325 0.0 0.0
2339.633661999833 -7.11700000000004 -998.119 2.2801400922738098 0.008403535052972207 2.664700098332198 0.0 0.0
2339.6341869998723 -1.619000000000037 -998.0949999999999 2.2560412570476456 0.007814159333714654 2.643416051872237 0.0 0.0
2339.635230000131 4.2999999999999705 -998.094 2.2084422683509355 0.0075284793192573335 2.601539114790741 0.0 0.0
2339.6357700000517 1.9659999999999123 -998.093 2.1842752288741303 0.006899941589467273 2.580362515788386 0.0 0.0
2339.6362970001064 -3.9449999999999763 -998.108 2.160729605903158 0.0073520879296338215 2.5597874488182364 0.0 0.0
2339.636816999875 -2.5249999999999995 -998.106 2.137699303937022 0.007728832557259119 2.539718447710899 0.0 0.0
2339.6373519999906 -0.8709999999999551 -998.104 2.1141915722164053 0.0011701037333227068 2.51929165293415 0.0 0.0
2339.6378700002097 -0.8380000000000054 -998.108 2.0914795567532565 9.6027268341084e-05 2.499613523203932 0.0 0.0
