time phi flux flux_err smear deltaT bg sin_phi cos_phi flux_cor_med flux_cor_sd planets_x_med planets_x_sd summodel_x_med summodel_x_sd
2273.8764374158345 246.0122467767941 4.446553008354837 0.2250452754534758 -0.007567284551565324 -2.0736799240112305 -0.0017264950315591914 -2.0262446857932837 -0.41030991882144957 4.050457483580019 0.06290150700616372 0.0 0.0 4.050457483580019 0.06290150700616372
2273.876923858188 243.31071198486086 3.8473888136092427 0.22498454284913885 -0.009979449738376361 -1.9410585165023804 0.002500695706924762 -2.0024130066543826 -0.5475865250502102 4.039807528754777 0.06221984205778071 0.0 0.0 4.039807528754777 0.06221984205778071
2273.8774102889 240.24011629490712 3.643522622639006 0.22496836082252097 -0.006380629339647909 -2.0736799240112305 0.007747531110136913 -1.9724805774233372 -0.6996946489923308 4.028450382511663 0.06169209790642766 0.0 0.0 4.028450382511663 0.06169209790642766
2273.877896730788 236.72543199996733 3.4763230661276623 0.2249440057677113 -0.0042685720684868195 -2.00736927986145 0.0025485839106239748 -1.934610884685058 -0.868140463509515 4.016681233222988 0.061376500161562875 0.0 0.0 4.016681233222988 0.061376500161562875
2273.878383172676 232.67862317609467 3.475965438119788 0.22494960215880355 -0.00721116391469263 -2.0736799240112305 0.007362276916385923 -1.8864164369006449 -1.0538152473599545 4.00462163544792 0.06135598358149959 0.0 0.0 4.00462163544792 0.06135598358149959
2273.878869603388 228.00014308646348 4.525279062153942 0.22506079501647908 -0.007005807674563695 -2.2060985565185547 0.004158565983170855 -1.8248785202630629 -1.2562755915149917 3.9921106085694795 0.06170146257696991 0.0 0.0 3.9921106085694795 0.06170146257696991
2273.8793560457416 222.5848298298182 3.614597263685848 0.22496433292829204 -0.0027797523916325293 -2.2722065448760986 0.006754173534968662 -1.7463741174063123 -1.4726016842348526 3.9792384824188334 0.06247834183873555 0.0 0.0 3.9792384824188334 0.06247834183873555
2273.879842488095 216.33866936260654 4.366422459312735 0.22505814235266128 0.020378580178480668 -2.0736799240112305 0.016496066679555058 -1.647012555612808 -1.6957085214891578 3.9659542381062955 0.0636682419599799 0.0 0.0 3.9659542381062955 0.0636682419599799
2273.880328918807 209.209768664938 3.411167627049183 0.22495980678116126 0.03532857956452102 -2.2060985565185547 0.021882998615633 -1.5235270876632665 -1.9125591490801752 3.952916895495126 0.06518727039102391 0.0 0.0 3.952916895495126 0.06518727039102391
2273.880815360695 201.22762198939006 4.056470547549873 0.22503644419699187 0.01236740013230148 -2.3383142948150635 0.026903522798293267 -1.3747819569987236 -2.1036369530383023 3.94150204900661 0.06685142525716502 0.0 0.0 3.94150204900661 0.06685142525716502
2273.881301802583 192.55366283473938 3.751722450589412 0.22499220747207455 0.029264572146678776 -2.0736799240112305 0.01757105305431181 -1.2038485702504356 -2.24520772582557 3.9300664938039076 0.06808217387530609 0.0 0.0 3.9300664938039076 0.06808217387530609
2273.881788233295 183.49051003442116 4.172783116981771 0.22503371173102954 -0.006358796998059587 -2.3383142948150635 0.013571349944146107 -1.0190361740878489 -2.3162517448185356 3.9217990696308203 0.0687393613900644 0.0 0.0 3.9217990696308203 0.0687393613900644
2273.8822746756487 174.4373007716066 3.8221454877898076 0.2249899458922929 -0.01078097522160933 -2.2060985565185547 0.008902496278169095 -0.8326322193510045 -2.3070565689992 3.914566804307411 0.06838823546479497 0.0 0.0 3.914566804307411 0.06838823546479497
2273.8827611180022 165.79012522080018 3.78640393493912 0.22498497698217484 0.007687447772169727 -2.2060985565185547 0.00795791529181706 -0.6571876048584887 -2.223655487190758 3.9086103726846675 0.06712064242107159 0.0 0.0 3.9086103726846675 0.06712064242107159
2273.8832475482486 157.8472734256892 3.947181179877912 0.22499169090385646 5.285792726209456 -2.2060985565185547 -0.0012494737252086272 -0.5017480650921075 -2.0844122543905415 3.7615026419848285 0.12485971646090029 0.0 0.0 3.7615026419848285 0.12485971646090029
2273.883733990602 150.76048870058628 3.9102375129909106 0.2249835861508485 0.2006594120507808 -2.2060985565185547 -0.004660906624801355 -0.3701880564609227 -1.9117426332633882 3.8959975315151096 0.06302610265489421 0.0 0.0 3.8959975315151096 0.06302610265489421
2273.88422043249 144.55799593290374 3.696532319621859 0.22496263570265784 0.005029319518153428 -2.2060985565185547 -0.002640496149495665 -0.26221250188631046 -1.7252651208964604 3.8983449076157495 0.06137355499452857 0.0 0.0 3.8983449076157495 0.06137355499452857
2273.884706863202 139.18222792629228 3.980862233328386 0.22499131641874295 -0.00045432450140328286 -2.0736799240112305 -0.004744550477650785 -0.17507245154261303 -1.5386973391164314 3.8954795324200404 0.05967463560295348 0.0 0.0 3.8954795324200404 0.05967463560295348
2273.8851933055557 134.53901807881255 4.2921103065038935 0.2250229072771655 0.005792001866051766 -2.2060985565185547 -0.006984130128997503 -0.10524682945972294 -1.3602257037597147 3.892332427030711 0.058258372524388036 0.0 0.0 3.892332427030711 0.058258372524388036
2273.8856797474436 130.52302343504232 4.662920020151784 0.22506152446350325 0.007178895202584038 -2.2060985565185547 -0.008644812952444346 -0.04929433106345362 -1.193855412130248 3.889164609874369 0.05715331682346018 0.0 0.0 3.889164609874369 0.05715331682346018
2273.886166189797 127.03477675199099 3.8946071311869446 0.22497865372901663 0.00941453825831795 -2.00736927986145 -0.007512243414568969 -0.004263536553210283 -1.0409753878883368 3.885306086497511 0.056318032989763206 0.0 0.0 3.885306086497511 0.056318032989763206
