time phi flux flux_err smear deltaT bg sin_phi cos_phi flux_cor_med flux_cor_sd planets_x_med planets_x_sd
2347.928573799785 205.58958039109666 -0.9933560408528219 0.22364527729043446 -0.0024596311988625587 -2.5826566219329834 -0.0018055065325797634 -0.46474919507013596 -1.1525327127497262 -0.7093295610159749 0.03614409122316341 0.0 0.0
2347.929060205817 202.04662744683856 -0.872437021095851 0.22365712303371735 0.009950695983986544 -2.680243968963623 -0.003976560806338103 -0.3948591549689144 -1.2144784955307917 -0.7036919857297276 0.03632641866296877 0.0 0.0
2347.9300330062397 194.67424644652738 -0.1798953249428914 0.2237453376161551 -0.002489371880875932 -2.680243968963623 0.015858704723268433 -0.24406137843588824 -1.3149683792435936 -0.6902893264922859 0.03666846599031958 0.0 0.0
2347.9305194113404 190.87026562233086 -0.742136509666258 0.22370522877988303 -0.0022532589782134948 -2.680243968963623 0.051274795125879055 -0.16406780210328947 -1.3513777330439882 -0.6807679386020338 0.0368444669616198 0.0 0.0
2347.9310058169067 187.00991352201754 -0.5729480590994651 0.22371088495105748 0.006921778603203546 -2.680243968963623 0.03003713337585127 -0.08184087184674398 -1.3773501625754565 -0.6801158825147566 0.03682514930247384 0.0 0.0
2347.931492211297 183.1104811991204 -0.1459302600401724 0.22374279489955837 -0.0034944393865939563 -2.680243968963623 0.004875292201002499 0.0019119273177562956 -1.392240685003836 -0.6807155789317665 0.036731175559609246 0.0 0.0
2347.931978617329 179.19341526180233 -1.062510169723474 0.22363759376474843 -0.008281836157209848 -2.2888104915618896 -0.002356119169000027 0.08635542618854322 -1.3956500197188506 -0.6794632173617957 0.03661120621816998 0.0 0.0
2347.9324650228955 175.27912157398578 -0.6858568383969477 0.22367787342745477 0.0031694945563020944 -2.3868625164031982 -0.0046667219565721995 0.17065807235186684 -1.3874788164090472 -0.6781924865222647 0.03643132174885494 0.0 0.0
2347.932951428462 171.38901287194494 -1.3668950961612802 0.2236000405051371 -0.00017108432733496694 -2.680243968963623 -0.009847875627006886 0.2539705691119305 -1.367928729038008 -0.6780689824051167 0.0361747451201699 0.0 0.0
2347.9334378228523 167.542312291072 -1.2361391303828961 0.22361857608568284 -0.006904588218403689 -2.680243968963623 -0.0037644212752477994 0.33551650420126083 -1.3374810571689155 -0.676963693838185 0.03587896185630524 0.0 0.0
2347.933924227953 163.75766216895545 -0.7443523529780949 0.22367862183870063 -0.006874865637169406 -2.3868625164031982 0.0063778361256149555 0.4145768119273371 -1.2968705149332287 -0.6758500882349883 0.035533979168779886 0.0 0.0
2347.934410633985 160.05091194301804 -0.6156852458100159 0.22368713176461524 -0.009086915720152352 -2.680243968963623 -0.004315880762145546 0.49055084996448045 -1.247023549695919 -0.6784117154339819 0.03509557464661416 0.0 0.0
2347.9348970283754 156.43561164774655 -0.33333926138934267 0.22371688984852459 -0.006804052351252511 -2.7778313159942627 -0.006839181563011803 0.5629538096221927 -1.1890048318469333 -0.6801915868987944 0.03464023947692264 0.0 0.0
2347.9353834339418 152.92226893587758 -0.5628047348754661 0.223692535843978 -0.005719227884716155 -2.5826566219329834 -0.00673408217352496 0.631433654169666 -1.1239478399392955 -0.6820828527832243 0.03416694179846588 0.0 0.0
2347.935869839508 149.5186319227255 -0.9336662879934066 0.223652955701499 -0.007113726655604063 -2.3868625164031982 -0.005468718797639769 0.6957614071963015 -1.0530007483049162 -0.6840630342314974 0.03368440884999361 0.0 0.0
2347.936356233433 146.22936903161417 -0.13895148522380385 0.22374207475087735 -0.0074102831845351 -2.3868625164031982 -0.0022341934679589105 0.7558288134074194 -0.977267670797148 -0.6860473426198503 0.033204719994427506 0.0 0.0
2347.936842639465 143.05719999039957 -0.5416266637044975 0.22369283169243975 0.013829853868551196 -2.5826566219329834 -0.009528899677115928 0.8116163558924524 -0.8977908482526461 -0.6899081385159161 0.032722775741424875 0.0 0.0
2347.937329045031 140.0022265150169 -0.5520351963247405 0.22369228513195202 0.027270544094073618 -2.680243968963623 -0.009229825512707688 0.8631934798805944 -0.8155032213099455 -0.6928563731468185 0.03227152373995538 0.0 0.0
2347.9378154394217 137.06345517060618 -0.6100720764875556 0.22368298716640525 0.014980430399191377 -2.680243968963623 -0.01228228430156262 0.9106801960469068 -0.7312447640484223 -0.6963221986951299 0.03184625438216101 0.0 0.0
2347.938301844988 134.23729483680017 -0.7311888596432947 0.22366641779570212 -0.002499480110583024 -2.7778313159942627 -0.01778504835673267 0.9542604430017768 -0.6457058181176198 -0.7002145003501037 0.03145612462154383 0.0 0.0
2347.93878825102 131.52088435007454 -1.0970074327049106 0.22362442379434108 -0.008490410026592827 -2.680243968963623 -0.02042049035643273 0.9941198525284612 -0.5595177223684275 -0.7037370491096046 0.031108222339049293 0.0 0.0
2347.939274644479 128.9080425851189 -0.6048221541561372 0.22366958861009767 -0.0009834000709618266 -2.7778313159942627 -0.034377521548875745 1.0304988437230018 -0.4731259325952022 -0.7088905194830943 0.030807562205153245 0.0 0.0
2347.939761050511 126.3941820419127 -0.8642051547198548 0.2236395060086412 0.008517683615702513 -2.5826566219329834 -0.03838166335959887 1.0636134683198282 -0.38694643451048655 -0.7126884238124498 0.030553483447132157 0.0 0.0
2347.940247456543 123.97314287803329 -0.6844563283042726 0.22365453117078207 0.008029087882225424 -2.5826566219329834 -0.04497982069499315 1.093696383679488 -0.30126866010879966 -0.7167816221788785 0.030349644309656653 0.0 0.0
